date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita,scores,anomaly
43973,Suffolk County,Massachusetts,1490.0,17180,818,11.53020134,0.548993289,-0.09954205375348602,-1
43974,Suffolk County,New York,1490.0,38802,1871,26.04161074,1.255704698,-0.10899101209397954,-1
43974,Westchester County,New York,9154.0,32880,1451,3.5918724060000002,0.158509941,-0.010998376600080184,-1
43974,Cook County,Illinois,17212.0,70417,3246,4.091157332,0.188589356,-0.03022014098442627,-1
43974,Los Angeles County,California,14464.0,44055,2090,3.045837942,0.144496681,-0.003126463799635548,-1
43974,Suffolk County,Massachusetts,1490.0,17291,827,11.60469799,0.555033557,-0.09954205375348602,-1
43975,Suffolk County,New York,1490.0,38964,1883,26.15033557,1.2637583890000001,-0.10899101209397954,-1
43975,Westchester County,New York,9154.0,32967,1462,3.601376447,0.159711601,-0.012054014079519337,-1
43975,Cook County,Illinois,17212.0,72010,3304,4.18370904,0.191959098,-0.033469533333543855,-1
43975,Los Angeles County,California,14464.0,44988,2104,3.11034292,0.145464602,-0.002604504717883871,-1
43975,Prince George's County,Maryland,4470.0,14039,490,3.1407158839999996,0.109619687,-0.0036487761512542516,-1
43975,Suffolk County,Massachusetts,1490.0,17417,838,11.68926174,0.562416107,-0.09954205375348602,-1
43976,Suffolk County,New York,1490.0,39090,1888,26.23489933,1.267114094,-0.10899101209397954,-1
43976,Westchester County,New York,9154.0,33048,1467,3.6102250380000003,0.160257811,-0.012054014079519337,-1
43976,Cook County,Illinois,17212.0,73097,3324,4.246862654,0.193121078,-0.03509918281921065,-1
43976,Los Angeles County,California,14464.0,46018,2116,3.1815542039999998,0.14629424800000002,-0.0036487761512542516,-1
43976,Prince George's County,Maryland,4470.0,14240,497,3.185682327,0.111185682,-0.0041714420118385,-1
43976,Suffolk County,Massachusetts,1490.0,17480,839,11.73154362,0.563087248,-0.09954205375348602,-1
43977,Suffolk County,New York,1490.0,39199,1900,26.30805369,1.275167785,-0.10899101209397954,-1
43977,Westchester County,New York,9154.0,33106,1469,3.616561066,0.160476295,-0.012054014079519337,-1
43977,Cook County,Illinois,17212.0,73819,3354,4.288810132,0.194864048,-0.0340123823373919,-1
43977,Los Angeles County,California,14464.0,47822,2143,3.306277655,0.14816095099999999,-0.005217835217106281,-1
43977,Prince George's County,Maryland,4470.0,14333,506,3.2064876960000004,0.113199105,-0.00469446162064846,-1
43977,Suffolk County,Massachusetts,1490.0,17533,844,11.76711409,0.5664429529999999,-0.09954205375348602,-1
43978,Suffolk County,New York,1490.0,39258,1910,26.34765101,1.281879195,-0.10899101209397954,-1
43978,Westchester County,New York,9154.0,33185,1476,3.625191173,0.161240988,-0.012054014079519337,-1
43978,Cook County,Illinois,17212.0,74521,3455,4.329595631,0.200732047,-0.03509918281921065,-1
43978,Los Angeles County,California,14464.0,48700,2195,3.366980088,0.151756084,-0.005217835217106281,-1
43978,Suffolk County,Massachusetts,1490.0,17596,850,11.80939597,0.5704697989999999,-0.09954205375348602,-1
43978,Prince George's County,Maryland,4470.0,14627,520,3.2722595080000003,0.116331096,-0.00469446162064846,-1
43979,Suffolk County,New York,1490.0,39359,1920,26.41543624,1.2885906040000001,-0.10899101209397954,-1
43979,Westchester County,New York,9154.0,33292,1481,3.636880052,0.161787197,-0.012054014079519337,-1
43979,Cook County,Illinois,17212.0,75306,3519,4.375203347,0.204450383,-0.03564313479468484,-1
43979,Los Angeles County,California,14464.0,49774,2241,3.441233407,0.154936394,-0.00469446162064846,-1
43979,Prince George's County,Maryland,4470.0,15042,530,3.3651006710000004,0.11856823300000001,-0.005217835217106281,-1
43979,Suffolk County,Massachusetts,1490.0,17698,852,11.87785235,0.571812081,-0.09954205375348602,-1
43980,Suffolk County,New York,1490.0,39445,1928,26.47315436,1.293959732,-0.10899101209397954,-1
43980,Westchester County,New York,9154.0,33348,1484,3.642997597,0.162114922,-0.012054014079519337,-1
43980,Cook County,Illinois,17212.0,76266,3570,4.430978387,0.20741343199999998,-0.0394611209283009,-1
43980,Los Angeles County,California,14464.0,51562,2290,3.5648506639999997,0.158324115,-0.010998376600080184,-1
43980,Suffolk County,Massachusetts,1490.0,17786,861,11.93691275,0.5778523489999999,-0.09954205375348602,-1
43980,Prince George's County,Maryland,4470.0,15324,530,3.428187919,0.11856823300000001,-0.00469446162064846,-1
43981,Suffolk County,New York,1490.0,39532,1941,26.53154362,1.302684564,-0.10899101209397954,-1
43981,Westchester County,New York,9154.0,33428,1492,3.651736946,0.162988857,-0.012054014079519337,-1
43981,Cook County,Illinois,17212.0,77119,3603,4.480536835,0.20933070000000004,-0.038914586629338443,-1
43981,Los Angeles County,California,14464.0,53651,2338,3.709278208,0.161642699,-0.014169579253938913,-1
43981,Suffolk County,Massachusetts,1490.0,17873,868,11.99530201,0.5825503360000001,-0.09954205375348602,-1
43981,Prince George's County,Maryland,4470.0,15579,539,3.485234899,0.120581655,-0.007314874273534722,-1
43982,Suffolk County,New York,1490.0,39643,1949,26.60604027,1.308053691,-0.10899101209397954,-1
43982,Westchester County,New York,9154.0,33480,1499,3.657417522,0.16375355,-0.012054014079519337,-1
43982,Cook County,Illinois,17212.0,77925,3642,4.527364629,0.21159656100000002,-0.040008025130012226,-1
43982,Los Angeles County,California,14464.0,54996,2362,3.8022676989999997,0.163301991,-0.021084841558190126,-1
43982,Suffolk County,Massachusetts,1490.0,17936,871,12.03758389,0.5845637579999999,-0.09954205375348602,-1
43982,Prince George's County,Maryland,4470.0,15808,541,3.536465324,0.12102908300000001,-0.010998376600080184,-1
43983,Suffolk County,New York,1490.0,39705,1954,26.64765101,1.311409396,-0.10899101209397954,-1
43983,Westchester County,New York,9154.0,33551,1501,3.665173695,0.16397203400000002,-0.012054014079519337,-1
43983,Cook County,Illinois,17212.0,78495,3658,4.56048106,0.212526145,-0.040008025130012226,-1
43983,Los Angeles County,California,14464.0,55968,2384,3.869469027,0.164823009,-0.02161930841376314,-1
43983,Suffolk County,Massachusetts,1490.0,18581,896,12.4704698,0.6013422820000001,-0.09954205375348602,-1
43983,Prince George's County,Maryland,4470.0,15968,545,3.572259508,0.121923937,-0.010998376600080184,-1
43984,Suffolk County,New York,1490.0,39980,1957,26.83221477,1.3134228190000001,-0.10899101209397954,-1
43984,Westchester County,New York,9154.0,33632,1506,3.674022285,0.164518243,-0.012054014079519337,-1
43984,Cook County,Illinois,17212.0,79673,3726,4.628921683,0.21647687699999998,-0.042199345974004765,-1
43984,Los Angeles County,California,14464.0,57118,2443,3.94897677,0.168902102,-0.029139938223545325,-1
43984,Suffolk County,Massachusetts,1490.0,18636,902,12.50738255,0.605369128,-0.09954205375348602,-1
43984,Prince George's County,Maryland,4470.0,16116,552,3.605369128,0.12348993300000001,-0.012054014079519337,-1
43985,Suffolk County,New York,1490.0,40062,1963,26.88724832,1.317449664,-0.10899101209397954,-1
43985,Westchester County,New York,9154.0,33690,1510,3.680358313,0.164955211,-0.012054014079519337,-1
43985,Cook County,Illinois,17212.0,80204,3780,4.659772252,0.219614223,-0.042199345974004765,-1
43985,Los Angeles County,California,14464.0,58234,2489,4.02613385,0.172082412,-0.03022014098442627,-1
43985,Suffolk County,Massachusetts,1490.0,18733,908,12.57248322,0.6093959729999999,-0.09954205375348602,-1
43985,Prince George's County,Maryland,4470.0,16279,565,3.641834452,0.12639821,-0.012054014079519337,-1
43986,Suffolk County,New York,1490.0,40153,1963,26.94832215,1.317449664,-0.10899101209397954,-1
43986,Westchester County,New York,9154.0,33766,1514,3.688660695,0.165392178,-0.012054014079519337,-1
43986,Cook County,Illinois,17212.0,80713,3846,4.689344643,0.223448757,-0.04384673287021279,-1
43986,Los Angeles County,California,14464.0,59650,2531,4.12403208,0.174986173,-0.03238493655747243,-1
43986,Suffolk County,Massachusetts,1490.0,18790,913,12.61073826,0.612751678,-0.09954205375348602,-1
43986,Prince George's County,Maryland,4470.0,16477,580,3.686129754,0.129753915,-0.012054014079519337,-1
43987,Suffolk County,New York,1490.0,40239,1965,27.00604027,1.318791946,-0.10899101209397954,-1
43987,Westchester County,New York,9154.0,33853,1519,3.698164737,0.16593838800000002,-0.014169579253938913,-1
43987,Cook County,Illinois,17212.0,81344,3880,4.726005113,0.225424123,-0.04384673287021279,-1
43987,Los Angeles County,California,14464.0,61045,2565,4.220478429,0.17733683600000003,-0.034555598749725025,-1
43987,Suffolk County,Massachusetts,1490.0,18858,922,12.65637584,0.618791946,-0.09954205375348602,-1
43987,Prince George's County,Maryland,4470.0,16711,587,3.738478747,0.13131991099999998,-0.01576001470111088,-1
43988,Suffolk County,New York,1490.0,40278,1970,27.03221477,1.3221476509999999,-0.10899101209397954,-1
43988,Westchester County,New York,9154.0,33923,1523,3.705811667,0.166375355,-0.014169579253938913,-1
43988,Cook County,Illinois,17212.0,81924,3913,4.7597025330000005,0.22734139,-0.04494684993379272,-1
43988,Sussex County,Delaware,1490.0,4342,144,2.91409396,0.096644295,-0.0005201963132367426,-1
43988,Los Angeles County,California,14464.0,62338,2620,4.309872788,0.18113938100000002,-0.034555598749725025,-1
43988,Suffolk County,Massachusetts,1490.0,18955,923,12.72147651,0.6194630870000001,-0.09954205375348602,-1
43988,Prince George's County,Maryland,4470.0,16838,595,3.76689038,0.13310962,-0.018950586598323493,-1
43989,Suffolk County,New York,1490.0,40329,1978,27.06644295,1.327516779,-0.10899101209397954,-1
