REGION,WEEK,ILITOTAL
Minnesota,3/24/2018,177
Mississippi,3/24/2018,442
Missouri,3/24/2018,94
Montana,3/24/2018,14
Nebraska,3/24/2018,314
Nevada,3/24/2018,183
New Hampshire,3/24/2018,26
New Jersey,3/24/2018,803
New Mexico,3/24/2018,432
New York,3/24/2018,249
North Carolina,3/24/2018,339
North Dakota,3/24/2018,5
Ohio,3/24/2018,278
Oklahoma,3/24/2018,157
Oregon,3/24/2018,878
Pennsylvania,3/24/2018,1289
Rhode Island,3/24/2018,110
South Carolina,3/24/2018,164
South Dakota,3/24/2018,312
Tennessee,3/24/2018,57
Texas,3/24/2018,853
Utah,3/24/2018,290
Vermont,3/24/2018,77
Virginia,3/24/2018,3205
Washington,3/24/2018,113
West Virginia,3/24/2018,137
Wisconsin,3/24/2018,133
Wyoming,3/24/2018,154
Alabama,3/31/2018,738
Alaska,3/31/2018,322
Arizona,3/31/2018,575
Arkansas,3/31/2018,52
California,3/31/2018,1167
Colorado,3/31/2018,225
Connecticut,3/31/2018,215
Delaware,3/31/2018,23
Georgia,3/31/2018,1342
Hawaii,3/31/2018,20
Idaho,3/31/2018,10
Illinois,3/31/2018,811
Indiana,3/31/2018,118
Iowa,3/31/2018,42
Kansas,3/31/2018,174
Kentucky,3/31/2018,241
Louisiana,3/31/2018,1198
Maine,3/31/2018,28
Maryland,3/31/2018,127
Massachusetts,3/31/2018,636
Michigan,3/31/2018,465
Minnesota,3/31/2018,160
Mississippi,3/31/2018,376
Missouri,3/31/2018,39
Montana,3/31/2018,10
Nebraska,3/31/2018,296
Nevada,3/31/2018,171
New Hampshire,3/31/2018,19
New Jersey,3/31/2018,761
New Mexico,3/31/2018,312
New York,3/31/2018,275
North Carolina,3/31/2018,363
North Dakota,3/31/2018,8
Ohio,3/31/2018,249
Oklahoma,3/31/2018,112
Oregon,3/31/2018,727
Pennsylvania,3/31/2018,1174
Rhode Island,3/31/2018,74
South Carolina,3/31/2018,137
South Dakota,3/31/2018,264
Tennessee,3/31/2018,49
Texas,3/31/2018,762
Utah,3/31/2018,95
Vermont,3/31/2018,83
Virginia,3/31/2018,2281
Washington,3/31/2018,86
West Virginia,3/31/2018,187
Wisconsin,3/31/2018,104
Wyoming,3/31/2018,106
Alabama,4/7/2018,693
Alaska,4/7/2018,328
Arizona,4/7/2018,565
Arkansas,4/7/2018,24
California,4/7/2018,1082
Colorado,4/7/2018,222
Connecticut,4/7/2018,139
Delaware,4/7/2018,4
Georgia,4/7/2018,1211
Hawaii,4/7/2018,48
Idaho,4/7/2018,19
Illinois,4/7/2018,781
Indiana,4/7/2018,101
Iowa,4/7/2018,27
Kansas,4/7/2018,131
Kentucky,4/7/2018,187
Louisiana,4/7/2018,1118
Maine,4/7/2018,27
Maryland,4/7/2018,107
Massachusetts,4/7/2018,678
Michigan,4/7/2018,430
Minnesota,4/7/2018,105
Mississippi,4/7/2018,352
Missouri,4/7/2018,45
Montana,4/7/2018,17
Nebraska,4/7/2018,264
Nevada,4/7/2018,127
New Hampshire,4/7/2018,35
New Jersey,4/7/2018,704
New Mexico,4/7/2018,294
New York,4/7/2018,212
North Carolina,4/7/2018,297
North Dakota,4/7/2018,18
Ohio,4/7/2018,193
Oklahoma,4/7/2018,98
Oregon,4/7/2018,531
Pennsylvania,4/7/2018,1186
Rhode Island,4/7/2018,77
South Carolina,4/7/2018,112
South Dakota,4/7/2018,108
Tennessee,4/7/2018,44
Texas,4/7/2018,530
Utah,4/7/2018,477
Vermont,4/7/2018,53
Virginia,4/7/2018,2393
Washington,4/7/2018,79
West Virginia,4/7/2018,203
Wisconsin,4/7/2018,112
Wyoming,4/7/2018,58
Alabama,4/14/2018,634
Alaska,4/14/2018,234
Arizona,4/14/2018,566
Arkansas,4/14/2018,38
California,4/14/2018,903
Colorado,4/14/2018,150
Connecticut,4/14/2018,124
Delaware,4/14/2018,7
Georgia,4/14/2018,1147
Hawaii,4/14/2018,34
Idaho,4/14/2018,4
Illinois,4/14/2018,695
Indiana,4/14/2018,110
Iowa,4/14/2018,12
Kansas,4/14/2018,112
Kentucky,4/14/2018,128
Louisiana,4/14/2018,1116
Maine,4/14/2018,27
Maryland,4/14/2018,96
Massachusetts,4/14/2018,685
Michigan,4/14/2018,376
Minnesota,4/14/2018,131
Mississippi,4/14/2018,407
Missouri,4/14/2018,37
Montana,4/14/2018,21
